ID_MSMLS	PRIMARY_NAME	SMILES	MOLECULAR_FORMULA	KEGG ID_CSID	CAS ID	HMDB/YMDB ID	NEUTRAL MONOISOTOPIC MOLECULAR MASS	METLIN_ID	PC_CID	PC_SID	ChEBI	id_Mzmine	score_cosine	precursor_mz	rt	intensity	GNPS_Compound_Name	LibraryName	MQScore	MZErrorPPM	SharedPeaks	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct.1	Precursor_MZ.1	Library_Class	IonMode	LibraryQualityString	Compound_Name-Topk=10	NumberHits
7	PURINE	N1C=NC2=C1C=NC=N2	C5H4N4	C15587	120-73-0	HMDB0001366	120.043596148	6193	1044	17396579	17258	813	0.981	121.05145	2.90767	109881704	Purine CollisionEnergy:205060	BERKELEY-LAB.mgf	0.92903	3.71855	3	LC-ESI	Orbitrap	Commercial	Trent Northen	JGI	M+H	121.051	3	Positive	Bronze	Purine CollisionEnergy:205060	10
8	N-ACETYLNEURAMINATE	CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O	C11H19NO9	C19910	131-48-6	HMDB0000230	309.105981211	24101	445063	78603070	45744	1247	1	310.11423	1.01394	9157178	N-ACETYLNEURAMINATE	MONA.mgf	0.901729	3.93632	13	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA037098	M+H	310.113	3	positive	Bronze	N-ACETYLNEURAMINATE	10
9	N-ACETYLMANNOSAMINE	[H][C@@]1(O)O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1NC(C)=O	C8H15NO6	C00645	7772-94-3	HMDB0001129	221.089937217	6024	11096158	310265669	63154	1194	1	222.09776	1.01451	3712435.8	N-ACETYL-MANNOSAMINE	MONA.mgf	0.983296	3.57257	10	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA037095	M+H	222.097	3	positive	Bronze	N-ACETYL-MANNOSAMINE	10
12	URATE	O=C1NC2=C(N1)C(=O)NC(=O)N2	C5H4N4O3	C00366	69-93-2	HMDB0000289	168.028340014	88	1175	3657	17775	2180	1	169.03625	1.79926	1185886.8	URATE - 50.0 eV	GNPS-LIBRARY.mgf	0.881761	1.53458	5	ESI	Orbitrap	Isolated	Madeleine Ernst	Anna Abrahamsson	M+H	169.036	1	Positive	Gold	URATE - 50.0 eV	10
13	CYTIDINE	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	C9H13N3O5	C00475	65-46-3	HMDB0000089	243.085520541	3376	6175	24892387	17562	2218	1	244.09355	1.59989	23107706	Cytidine	GNPS-EMBL-MCF.mgf	0.979069	14.0029	3	DI-ESI	Orbitrap	Commercial	Alexandrov Theodore	Prasad	M+H	244.09	1	Positive	Gold	Cytidine	10
14	SERINE	N[C@@H](CO)C(O)=O	C3H7NO3	C00065	56-45-1	HMDB0000187	105.042593095	30	5951	3365	17115	2298	1	106.05062	0.89267	17322624	SERINE	MONA.mgf	0.926219	5.97114	3	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA037068	M+H	106.05	3	positive	Bronze		3
16	CITRULLINE	N[C@@H](CCCNC(N)=O)C(O)=O	C6H13N3O3	C00327	372-75-8	HMDB0000904	175.095691297	16	9750	3621	16349	3417	1	176.1035	1.00164	30628646	Massbank:PB000434 Citrulline|2-amino-5-(carbamoylamino)pentanoic acid	MASSBANK.mgf	0.946724	2.77269	6	ESI	LC-ESI-QTOF	Isolated	Putative Massbank Match	Massbank	[M+H]+	176.104	3	Positive	Bronze	Massbank:PB000434 Citrulline|2-amino-5-(carbamoylamino)pentanoic acid	10
18	N-ACETYLTRYPTOPHAN	CC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O	C13H14N2O3	CSID388950	1218-34-4	HMDB0013713	246.100442324	85257	700653	76081748	70976	3170	1	247.10852	8.92308	21744142	DL-N-Acetyltryptophan - 40.0 eV	BIRMINGHAM-UHPLC-MS-POS.mgf	0.970563	1.91423	8	ESI	Orbitrap	Isolated	PI	Data Collector	M+H	247.108	1	Positive	Gold	DL-N-Acetyltryptophan - 40.0 eV	10
19	NICOTINATE	OC(=O)C1=CN=CC=C1	C6H5NO2	C00253	59-67-6	HMDB0001488	123.032028409	240	938	3552	15940	2967	1	124.03985	1.51981	67037564	nicotinic acid CollisionEnergy:102040	BERKELEY-LAB.mgf	0.987306	6.27382	6	LC-ESI	Orbitrap	Commercial	Trent Northen	JGI	M+H	124.039	3	Positive	Bronze	nicotinic acid CollisionEnergy:102040	10
20	INOSINE	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CNC2=O	C10H12N4O5	C00294	58-63-9	HMDB0000195	268.080769514	84	6021	3588	17596	3707	1	269.08859	4.87178	11098256	INOSINE	GNPS-LIBRARY.mgf	0.974325	2.38163	5	ESI	Orbitrap	Commercial	Aron	David Hattan	M+H	269.088	1	Positive	Gold	INOSINE	10
