#Scan#,PRIMARY_NAME,NEUTRAL MONOISOTOPIC MOLECULAR MASS,M+H,around_2...5,RT(min),BIRMINGHAM-UHPLC-MS-POS.mgf,CMMC-FOOD-BIOMARKERS.mgf,GNPS-LIBRARY.mgf,GNPS-NUTRI-METAB-FEM-POS.mgf,GNPS-NIST14-MATCHES.mgf,LEAFBOT.mgf,MONA.mgf,BMDMS-NP.mgf,GNPS-MSMLS.mgf,MASSBANK.mgf,MCE-DRUG.mgf,MSNLIB-POSITIVE.mgf,BERKELEY-LAB.mgf,GNPS-SCIEX-LIBRARY.mgf,PSU-MSMLS.mgf,WINE-DB-ORBITRAP.mgf,RESPECT.mgf,GNPS-EMBL-MCF.mgf,GNPS-N-ACYL-LIPIDS-MASSQL.mgf,WINE-DB-QTOF.mgf,LDB_POSITIVE.mgf,GNPS-ALKYLAMINES-LIBRARY.mgf,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE.mgf,ECG-ACYL-AMIDES-C4-C24-LIBRARY.mgf,DMIM-DRUG-METABOLITE-LIBRARY.mgf,GNPS-ION-MOBILITY-LIBRARY.mgf,GNPS-SAM-SIK-KANG-LEGACY-LIBRARY.mgf,GNPS-REFRAME-DRUG-CCS-LIBRARY.mgf,BIRMINGHAM-UHPLC-MS-NEG.mgf,WFSR-LIBRARY.mgf,CASMI.mgf,MASSBANKEU.mgf,GNPS-SELLECKCHEM-FDA-PART1.mgf,GNPS-NIH-NATURALPRODUCTSLIBRARY.mgf,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE.mgf,PHENOLICSDB.mgf,TUEBINGEN-NATURAL-PRODUCT-COLLECTION.mgf,GNPS-SELLECKCHEM-FDA-PART2.mgf,MIADB.mgf,BILELIB19.mgf,GNPS-ION-MOBILITY-LIBRARY-FILTERED.mgf,PNNL-LIPIDS-POSITIVE.mgf,GNPS-IOBA-NHC.mgf
510,"1,3-DIAMINOPROPANE",74.08439833,75.09222333,75.09,0.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,PUTRESCINE,88.100048394,89.107873394,89.11,0.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,L-ALANINE,89.047678473,90.055503473,90.06,0.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,GLYCERALDEHYDE,90.031694058,91.039519058,91.04,1.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2194,2-HYDROXYPYRIDINE,95.037113787,96.04493878699999,96.04,3.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,1-AMINOCYCLOPROPANECARBOXYLATE,101.047678473,102.055503473,102.06,0.956,,,ALLOTHREONINE,,,,,,,,,,L-threonine CollisionEnergy:102040 | L-Allothreonine CollisionEnergy:102040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,CADAVERINE,102.115698458,103.123523458,103.12,0.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1344,N-FORMYLGLYCINE,103.026944,104.034769,104.03,1.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,"2,3-DIAMINOPROPIONATE",104.05857751,105.06640251,105.07,0.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,HYPOTAURINE,109.019749163,110.027574163,110.03,0.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,2-AMINOPHENOL,109.052764,110.060589,110.06,1.537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
